Malic_Acid,Ash,Ash_Alcalinity,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280,Proline,Alcohol
4,2.6967959274054354,14.510907073494483,126,14,62.26257637519263,0.35782715376132973,7,3.1365919633009955,1.218612212377022,11.681685038806965,267,1389.759881972059
8,2.3295294386312526,7.813376200324369,102,7,44.75660909947748,0.5500404846531853,1,3.1597911911674768,1.0881026543101286,14.428169060193571,517,1300.1157980968683
7,3.104759531493777,7.47828639028884,125,7,56.08769050798226,0.43732238447163285,5,5.110098495268991,1.0352197682527096,11.227172527153623,485,1409.543652264238
6,3.1692224657813455,5.962143131524095,135,14,39.76843591863741,0.3389736950489949,3,5.493449634102264,0.9269279220196802,11.305727947370515,365,1180.168265530659
6,2.758561314159309,8.423796439964065,83,14,54.82777187347175,0.3701125012082728,6,6.5829064640674755,1.0165553480448215,13.731558238913337,157,1311.3393623852699
7,2.473116214516936,6.812821155259053,103,16,52.32218845474018,0.463312464767366,7,3.456158089317491,0.8016189790081638,15.078333863187531,493,1543.826567900031
6,3.8386098710844205,10.63620204691279,121,4,57.541224224827474,0.31581606882963753,7,4.814107071209807,1.0949523141357465,13.172894022696152,451,1416.4370385415602
3,2.953216078146415,10.060883998044368,91,14,56.930543612021964,0.4917568824004226,2,3.5229306386726575,1.1229419932696068,10.307788363766694,386,1351.770521505749
4,2.1811211051986157,6.850469702536612,84,13,37.698021228817154,0.3417185128832241,3,4.393055464087088,1.0362770100587189,14.016305766750726,277,1177.1348340151974
7,3.4669328326903814,11.71915107193013,87,5,52.374212586223294,0.3970926179348596,5,2.436034382907941,0.8996734563310529,11.957110142592242,357,1192.9209963273647
4,2.38120508407441,14.426564149537704,103,12,65.33976922576856,0.46388841893759036,7,2.901887862104374,1.0617766886476296,14.71878945038025,336,1510.9620350203181
8,4.102081643293305,11.044099585782202,115,11,29.504917824561485,0.4830425305582896,2,5.414194432667374,1.1002847829112228,12.30034566541143,341,1174.720220586086
1,2.828653463860914,2.5765553477900873,109,9,60.55301110483809,0.5065574932640237,7,2.432010058978358,0.9245851673684711,14.756163381016991,506,1493.7023811646893
3,3.275253075802166,15.799186492462846,101,3,66.80529799487736,0.3566624097075106,1,5.1686975400318,1.1171171770468475,12.238844398728126,347,1148.888082727032
5,1.7956092235309162,12.179643647430519,98,5,36.40623402142682,0.4277604934140742,7,3.4849468634839704,1.0701128483421884,11.80215622218936,156,1042.3670676876295
3,2.176303382450203,15.709551494554116,74,14,44.42314117434354,0.5275914215616435,3,1.855443126417001,0.9784477596948153,9.821459319993378,540,1310.5591019244705
7,3.428579682246941,13.183023527240394,87,4,56.128763068797284,0.4277776484628932,7,1.0558996505384552,0.9458883112715155,11.849126927106868,153,1048.0788816611266
5,2.9425719397713155,13.766115548283489,76,3,42.30129173534273,0.470695112326759,7,6.2755171288201845,0.9893692432316382,13.198024810449034,218,1025.393332863463
1,3.7674962884764596,10.598820132269346,122,11,64.46971460438098,0.4613039759300552,6,1.8816843716898006,0.8984779182521385,13.07419315500279,354,1400.961169387083
7,3.0226257865205532,9.23423882786987,110,10,61.45887564644227,0.5424250037533542,1,4.282851534611518,1.03977858760693,13.898158313351713,481,1336.1009859057444
2,2.860050474778982,11.089753176916531,95,7,37.387961062499215,0.4165442581365371,5,4.8284465976624125,1.0740119897027547,14.91767399599847,469,1186.8650233311866
4,3.610209634904754,7.931161472196628,131,13,43.710437355875754,0.35072129386407225,5,2.654075199035835,1.1440478238516938,12.958497648055307,587,1420.1903042980507
1,3.2737324372566725,11.266029460022772,147,14,58.61177041423956,0.38078749209313567,3,3.6448778517504214,1.044047219413372,13.021462832991258,259,1338.4327035291144
4,2.696672245755896,2.333479287239646,100,4,58.225890495023926,0.46318488751596737,5,4.9913113900781125,1.0548226249365422,14.706097106688922,565,1371.907363778233
6,2.267204266476477,10.125046820697506,138,3,72.87985912466041,0.3379282662987194,4,4.749364378493456,0.9791374941277211,13.284654266690621,321,1275.4486532807086
2,1.656128198196573,13.924183434804025,80,9,42.362781588505335,0.4109520548437486,6,3.7661069098361257,0.9095626925463829,11.424296921950472,464,1409.636081388809
2,2.581200496739589,10.274988536789966,101,15,65.4018627069222,0.45510499687030687,3,4.675790045282108,0.96054992812733,12.070692361313021,470,1505.3619525057775
1,2.223087128749301,15.04140370090379,83,13,42.02758429570018,0.3951254384326592,7,4.233470251981255,1.1738333242684418,9.47920681059758,495,1403.7644168993284
2,4.0331185916872725,9.230008828221658,90,13,55.95716038522861,0.4730158274228181,4,3.1011507233731135,1.0826898347975003,11.402408584235829,513,1411.59751852322
5,2.4794565232701613,12.925983625792135,127,4,59.81839555044171,0.5013354752957325,5,5.9325393857009585,1.056668408758965,10.18774578711594,277,1277.8162970763788
2,2.466379823507354,7.436519894470749,122,3,21.540658268158644,0.4821377109931453,7,4.637335708672946,0.8015129777283709,13.478053628468638,319,1001.0944888305768
4,2.0628886953819587,12.807217420590863,86,4,60.00419603451678,0.339497961538744,3,1.9643541455031865,1.045810961579934,14.865099881724959,572,1406.4418177030007
4,2.6631620801994935,10.678576882396715,146,9,64.6666120918055,0.4553732491476174,4,5.047199134237756,0.8572659754875178,11.395781423818805,348,1394.3428772916648
7,2.472681420126895,9.358407823045125,81,9,61.823166029652555,0.46094802352379166,5,3.564027246934023,0.8654522360487997,11.455765737253468,573,1487.7233828773185
4,3.621763980435535,2.487879909262994,83,12,71.25368647378313,0.4225976500763208,2,3.9893141132223344,0.8783107473609371,14.432497977269907,542,1567.927820767939
7,2.8711381976408297,9.257351101707831,135,8,60.535785914096145,0.4720511610665083,2,4.377497068640305,0.9211876651556857,12.185527706149646,534,1386.1059798590659
4,2.7863105183936483,10.622711321921694,148,7,45.73799660586012,0.4694948297968189,1,3.3326133898631163,1.1055688129675947,13.326130217899028,511,1259.314860006111
5,2.726132037739874,12.418335808392676,139,5,63.23292591790545,0.4432593936991622,2,6.718407166149168,1.035913479986712,14.110112907019934,194,1162.7655433973744
8,3.1666039614531836,14.555377687679343,125,16,45.17892457519948,0.3781945928405877,4,2.4191609602515474,0.9016371582605349,11.770975322266095,219,1252.535557627912
7,2.574186939637893,15.93898758734505,111,14,51.84100412651928,0.447836477691438,6,4.4407432222463,0.9432382817642421,11.802274607325005,411,1382.3741911648813
3,3.1096972336590087,13.636977637270949,128,5,59.22191504047337,0.5827215839118626,2,4.864183861268521,1.0671049584204035,12.09607228340846,535,1306.7632281445392
6,3.5625656633367075,8.35928978941027,100,13,55.44261886504747,0.421787228223939,3,4.420560461847975,1.0900050768775391,10.408185695055078,564,1431.491138572352
1,3.0106195802737696,9.110179098389178,147,15,64.3372658263746,0.5243364561086866,3,4.117717260484117,1.025242561130799,13.696742627214984,258,1295.867365119557
4,2.6710957348736852,12.15627232293389,111,14,75.54154872558536,0.4525007297876012,3,3.8750923698786366,0.8781801365896028,13.880803699914345,508,1528.9164515090174
2,2.3344793917767284,11.516242807744723,97,11,39.8267025410708,0.3926937356215836,2,3.319267805699203,0.9625479817121597,13.040737995029007,246,1130.331074152468
8,2.658949564251671,14.75207323213791,93,6,47.79526193847095,0.4286050494161559,7,3.2961394010165246,1.2832207591072724,15.103890285597764,245,1252.245081969592
4,3.059889737813989,17.235841682188696,82,11,54.14540898190199,0.4485310495397226,2,5.877830329154442,0.8709042199757719,12.491299089816886,443,1387.0016817890369
2,2.0574919177961064,16.616509533348108,115,6,46.46700270152934,0.496406067559659,1,3.7906642822332115,1.0529417738029556,13.907755477624608,258,963.0001361293655
6,3.188304899866244,14.359804483622462,87,4,50.28355209386797,0.6192727380787104,6,7.147695636188596,1.2533567095755531,13.695385025324992,522,1346.0634339545027
6,2.8898584948359014,11.540431869251567,120,6,58.67069814429861,0.4536267659235051,7,5.239269241499128,0.9785088381496616,11.624240533170184,369,1262.4464905469642
6,2.719188360395388,13.937751364191023,93,8,57.36158199477224,0.3620538752212891,6,0.8875736573430721,1.220408131953915,14.773766388910595,288,1312.4182980643884
2,2.475131211805849,14.848661074879645,132,8,53.46534062574855,0.33187077278263905,7,5.518792740145742,0.9309620496644064,13.118890954094546,494,1408.5391470631346
4,2.5626832508201556,9.569853275218993,122,7,52.484303584015414,0.41968742773881484,7,4.297475755455953,0.7832009104477011,14.48321791944905,290,1304.5316946185592
6,3.0762617249840774,8.445179290326292,95,3,48.8242047970711,0.3693746790960246,5,2.5539752350934606,0.943406238782104,10.815378085762255,444,1217.4107744482983
5,2.7292226569603106,7.7600326701281706,85,5,64.86314160986312,0.4894746398232194,1,6.0678737469195205,0.9229242874427976,13.089197739532072,396,1177.6570792159882
7,2.550838639185185,7.442022255748308,141,7,67.41285500069425,0.4899981681789631,4,3.798267740675394,0.8181798904632516,12.169882483544063,222,1183.2323957340122
2,3.0146799027055264,5.96639887178778,76,8,61.06408343093479,0.43933439127703305,3,3.687387029702748,0.9619828737920194,11.539876708282922,156,1132.1526078667873
2,3.0336344660756485,10.729086742440868,144,16,39.708383393382725,0.4965609992946629,2,4.856147688939711,1.1236607611379765,15.184194991323384,529,1436.2437575145852
4,2.1930286928877853,7.081972823724772,81,3,48.44657016746743,0.4543458538599284,5,5.8573366250919,0.9417024748381473,13.227080882214072,333,1096.250524562522
2,3.0639086076755984,7.713041400119563,107,16,52.995844421280054,0.5827673778920013,5,4.514729912190534,0.9667405111966874,10.531634867036445,351,1295.8845267224003
2,3.9871955381169863,12.046361953607116,93,16,41.76380762264569,0.49433412098612933,7,4.421351579804989,1.1672256631657094,12.110705319494873,214,1261.4966655168867
6,3.0151856423819354,10.529774815582808,130,11,51.808163560245056,0.5135310993933001,2,3.457926925974083,0.9240072332288026,14.425904964631368,417,1265.8577543661197
4,1.9778590886849456,11.25360859534121,90,16,51.24809935501965,0.3465770130428742,1,5.835068657515556,1.0809503582715343,11.537577190549063,201,1108.549188143449
6,2.875394995084249,13.983932794499218,144,5,61.70749707091166,0.36630111055271164,5,4.527297053566225,0.8139033560803502,11.372995495582696,579,1415.2068176522334
7,1.9148108782839763,12.522877780399044,115,12,46.12128848298478,0.4838423261011111,6,4.072776569544706,0.8989974357179198,12.675277201582198,164,1151.968768946657
